customer_id,first_name,last_name,email,country,city,age,gender,signup_date
125,Miguel,Díaz,miguel.díaz125@mail.com,Argentina,Rosario,68,M,2022-01-05
69,Diego,Torres,diego.torres69@mail.com,Argentina,Rosario,69,M,2022-01-09
375,Florencia,Martínez,florencia.martínez375@mail.com,Argentina,Buenos Aires,28,F,2022-01-12
145,Diego,Rodríguez,diego.rodríguez145@mail.com,México,Guadalajara,66,M,2022-01-13
407,Diego,Fernández,diego.fernández407@mail.com,Argentina,Rosario,36,F,2022-01-18
60,Diego,Romero,diego.romero60@mail.com,Argentina,Rosario,38,F,2022-01-21
244,Valentina,González,valentina.gonzález244@mail.com,México,Monterrey,42,M,2022-01-21
118,Camila,Díaz,camila.díaz118@mail.com,Chile,Valparaíso,47,F,2022-01-24
131,Pedro,Díaz,pedro.díaz131@mail.com,Argentina,Córdoba,69,F,2022-01-28
76,Ana,López,ana.lópez76@mail.com,Argentina,Córdoba,36,F,2022-02-01
90,Carlos,González,carlos.gonzález90@mail.com,México,Monterrey,35,F,2022-02-02
274,Lucía,López,lucía.lópez274@mail.com,España,Madrid,40,Otro,2022-02-06
11,Laura,López,laura.lópez11@mail.com,México,Guadalajara,59,F,2022-02-07
174,Ana,Sánchez,ana.sánchez174@mail.com,Perú,Arequipa,26,M,2022-02-15
50,Carlos,González,carlos.gonzález50@mail.com,Argentina,Córdoba,68,F,2022-02-16
258,Camila,Pérez,camila.pérez258@mail.com,Argentina,Córdoba,67,M,2022-02-17
289,Carlos,Martínez,carlos.martínez289@mail.com,México,Monterrey,46,M,2022-02-18
318,Camila,Fernández,camila.fernández318@mail.com,España,Madrid,21,F,2022-02-19
17,Sofía,Martínez,sofía.martínez17@mail.com,España,Madrid,57,M,2022-02-21
313,Julieta,Pérez,julieta.pérez313@mail.com,Argentina,Mendoza,54,M,2022-02-22
208,Andrés,Torres,andrés.torres208@mail.com,España,Barcelona,40,M,2022-02-26
472,Lucía,Torres,lucía.torres472@mail.com,México,Monterrey,43,M,2022-02-26
250,Agustina,Sánchez,agustina.sánchez250@mail.com,México,Guadalajara,25,F,2022-02-27
106,Ana,Romero,ana.romero106@mail.com,Chile,Valparaíso,37,M,2022-03-03
203,Agustina,Pérez,agustina.pérez203@mail.com,México,Monterrey,51,M,2022-03-03
334,Miguel,González,miguel.gonzález334@mail.com,Colombia,Medellín,54,M,2022-03-03
283,Sofía,González,sofía.gonzález283@mail.com,Argentina,Buenos Aires,42,M,2022-03-07
141,Florencia,Sánchez,florencia.sánchez141@mail.com,México,Monterrey,68,M,2022-03-08
36,Andrés,González,andrés.gonzález36@mail.com,Argentina,Buenos Aires,20,F,2022-03-11
343,Carlos,Romero,carlos.romero343@mail.com,Colombia,Medellín,50,F,2022-03-12
361,María,Sánchez,maría.sánchez361@mail.com,Perú,Arequipa,62,M,2022-03-14
355,Luis,Rodríguez,luis.rodríguez355@mail.com,México,CDMX,40,M,2022-03-17
134,Julieta,Romero,julieta.romero134@mail.com,Argentina,Buenos Aires,67,F,2022-03-17
199,Miguel,López,miguel.lópez199@mail.com,Argentina,Córdoba,44,M,2022-03-23
402,Luis,Díaz,luis.díaz402@mail.com,Perú,Lima,21,F,2022-03-27
498,Julieta,Torres,julieta.torres498@mail.com,España,Madrid,60,F,2022-03-30
408,Florencia,Rodríguez,florencia.rodríguez408@mail.com,Colombia,Medellín,65,M,2022-04-09
470,María,Rodríguez,maría.rodríguez470@mail.com,México,Guadalajara,69,M,2022-04-09
305,José,Rodríguez,josé.rodríguez305@mail.com,Colombia,Medellín,66,F,2022-04-10
291,Luis,Díaz,luis.díaz291@mail.com,Colombia,Bogotá,45,F,2022-04-10
413,Laura,González,laura.gonzález413@mail.com,Argentina,Buenos Aires,59,F,2022-04-12
2,Andrés,Fernández,andrés.fernández2@mail.com,México,CDMX,20,F,2022-04-15
